Component,Description,No. of Times Used,Total
OIG,0,0,0
HQ,0,0,0
OIG,"Request Apparently Misdirected. Contacted Requestor, No Reponse.",1,1
OIG,Unable to locate requester,6,9
OIG,Administratively Closed,2,9
OIG,Records Publicly Available,1,9
OIG,Not applicable,0,0
OIG,N/A,0,0
HQ,Other,14,15
HQ,Litigation,1,15
OIG,Records  on OIG Webpage,1,1
OIG,N/A,0,0
HQ,Records lost of destroyed,87,257
HQ,Cancelled,170,257
OIG,NA - Other reason was not relied on for denials.,0,0
HQ,Requests were administratively closed,239,239
Total,0,522,812
