Component,Description,No. of Times Used,Total
AF,United States Department of the Air Force,25,25
ARMY,United States Department of the Army,8,17
ARMY,United States Department of the Army,9,17
DIA,Defense Intelligence Agency,2,2
NAVY,United States Department of the Navy,1,141
NAVY,United States Department of the Navy,2,141
NAVY,United States Department of the Navy,125,141
NAVY,United States Department of the Navy,3,141
NAVY,United States Department of the Navy,2,141
NAVY,United States Department of the Navy,8,141
NSA,National Security Agency,20,28
NSA,National Security Agency,6,28
NSA,National Security Agency,2,28
Total,0,213,991
