Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
CBP,9,21,0,239,50,100,0,832,0,0,0,0,
CRCL,13.5,15.5,12,23,63.5,91.6,22,283,0,0,0,0,
FEMA,48,118,1,712,251,268,2,646,42,42,42,42,
FLETC,24,33,0,95,0,0,0,0,0,0,0,0,
I&A,20,16,3,25,49,56.71,19,109,0,0,0,0,
ICE,7,43.8,1,731,12,40.3,1,843,15,22.8,2,54,
MGMT,9,10.32,1,23,30,32.9,8,101,0,0,0,0,
NPPD,51,56.3,1,175,154,215.5,40,650,0,0,0,0,
OGC,41,41,18,64,152,152,152,152,0,0,0,0,
OIG,69.5,99.16,3,368,143,196.46,11,574,0,0,0,0,
OPS,1,2.4,1,7,10.5,11.9,5,24,0,0,0,0,
PLCY,21.5,18,1,30,89,127,42,314,0,0,0,0,
PRIV,10,11.88,3,29,42,90.07,6,484,0,0,0,0,
S&T,21,20,6,54,120,208,75,154,0,0,0,0,
TSA,54,62.39,1,174,73.5,82.22,1,234,9,43.66,5,117,
US-VISIT,10,11.17,1,37,31,36.25,1,96,0,0,0,0,
USCG,4,14,1,780,209,419,1,2860,8,8,1,14,
USCIS,256,245,1,977,,,1,747,24.5,61.52,3,439,
USSS,,,,,,,,,0,0,0,0,
Total,123,175,0,977,377,293,0,2860,22,56,0,439,
