Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
CBP,0,9450,5,170,150,8904,43,0,8947,12,5547,0,0,0,
CRCL,0,4,0,0,8,6,1,0,2,2,0,0,0,0,
FEMA,2,21,4,47,14,64,0,0,7,0,0,0,0,0,
FLETC,0,14,4,8,1,19,0,0,3,0,12,1,0,0,
I&A,0,3,0,1,3,4,0,0,0,0,1,0,0,0,
ICE,1,2290,17,91,290,3323,67,14,3120,24,452,4,0,0,
MGMT,1,11,4,18,5,11,0,0,0,0,0,0,0,0,
NPPD,0,10,3,8,4,16,1,0,0,0,0,0,0,0,
OGC,0,1,0,0,4,1,0,0,0,0,0,0,0,0,
OIG,1,61,3,4,19,95,11,0,92,6,4,0,0,0,
OPS,1,4,0,0,0,2,1,0,0,0,1,0,0,0,
PLCY,2,9,0,0,2,12,0,0,0,0,0,0,0,0,
PRIV,1,55,3,13,18,82,3,0,14,1,9,2,0,0,
S&T,1,7,0,10,4,8,0,0,0,0,1,0,0,0,
TSA,2,169,117,46,41,185,6,0,37,0,3,10,0,0,
US-VISIT,0,2,0,1,0,4,0,0,0,0,1,0,0,0,
USCG,3,18,18,35,1216,810,1292,3,225,2,7,0,0,0,
USCIS,0,58164,845,35,57687,59090,41,0,67320,6,63217,0,0,0,
USSS,0,251,12,4,44,239,3,0,244,18,199,0,0,0,
Total,15,70544,1035,491,59510,72875,1469,17,80011,71,69454,17,0,0,
