Component,Number of 'Full Time FOIA Employees',Number of 'Equivalent Full-Time FOIA Employees',Total Number of 'Full-Time FOIA Staff',
Office of the AG,3,0.95,3.95,
Office of the DAG,1,0.85,1.85,
Office of the Assoc. AG,0,0.8,0.8,
Antitrust,6,0.8,6.8,
ATF,8,5,13,
BOP,13,6.5,19.5,
Civil,2,12.2,14.2,
Civil Rights,9.9,0,9.9,
COPS,1,0,1,
Criminal,17,0.5,17.5,
CRS,0,0.1,0.1,
DEA,15,1,16,
ENRD,0,0.9,0.9,
EOIR,8,9.25,17.25,
EOUSA,24.5,0,24.5,
EOUST,0,1.68,1.68,
FBI,202,4,206,
FCSC,0,0.1,0.1,
JMD,2,0.13,2.13,
NDIC,0,0.7,0.7,
NSD,3,0.5,3.5,
ODR,0,0,0,
OFDT,1,0.23,1.23,
OIG,1,1,2,
OIP,32,0.95,32.95,
OIPL,0,0.3,0.3,
OJP,1,1.25,2.25,
OLA,1,0.17,1.17,
OLC,0,1.5,1.5,
OLP,1,0.49,1.49,
OPR,0,1.2,1.2,
OSG,0,1,1,
OVW,0,0.07,0.07,
Pardon Attorney,0,0.25,0.25,
Public Affairs,0,0.78,0.78,
PRAO,0,0.06,0.06,
TAX,2,0.93,2.93,
USMS,6,6,12,
USNCB,1,0.1,1.1,
USPC,1,0.35,1.35,
Total,362,63,425,
