Component,Description,No. of Times Used,Total
OIG,0,0,0
FHWA,Request referred to another DOT component,45,45
FTA,Request referred to another DOT component,1,1
MARAD,Request referred outside of DOT,7,10
MARAD,Referral to website,3,10
NHTSA,Request referred to another DOT component,10,10
OIG,Request referred to another DOT component,5,5
OST,Request referred to another DOT component,70,70
PHMSA,Request referred to another DOT component,4,4
RITA,Request referred to another DOT component,2,7
RITA,Referral to website,5,7
OIG,Request Misdirected and Withdrawn,13,13
OIG,Unable to locate requester,1,2
OIG,Sent in error,1,2
OIG,Not applicable,0,0
OIG,Records referred were not related or indexed to the requester,3,3
OIG,Records  on OIG Webpage,1,5
OIG,No response from Requester,4,5
OIG,None,0,0
OIG,NA - Other reason was not relied on for denials.,0,0
Total,0,175,199
