Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
CBP,2555,9554,109,4938,182,80,182,10,2577,225,39,33,20484
CRCL,0,2,0,4,1,0,0,0,0,0,0,0,7
FEMA,145,102,11,87,34,181,4,3,73,1,0,0,641
FLETC,30,27,6,18,4,37,1,10,1,0,1,0,135
I&A,2,6,1,25,2,0,0,5,0,0,0,0,41
ICE,388,3559,176,195,1766,26,26,26,219,17,41,297,6736
MGMT,32,48,2,24,53,3,5,5,3,2,1,2,180
NPPD,6,20,0,11,2,8,0,0,0,16,0,0,63
OGC,0,2,2,3,0,1,0,1,0,0,0,0,9
OIG,14,100,17,37,2,6,3,0,7,1,0,2,189
OPS,9,4,0,16,2,0,0,0,1,0,0,0,32
PLCY,4,7,2,3,0,0,0,0,0,0,0,0,16
PRIV,41,83,8,40,566,9,2,127,53,22,14,27,992
S&T,11,23,3,8,14,2,1,0,0,0,0,0,62
TSA,134,271,62,161,39,56,33,20,137,30,9,31,983
US-VISIT,6,6,2,10,0,1,0,0,1,1,0,0,27
USCG,2400,864,1242,658,551,130,8,13,26,24,219,130,6265
USCIS,12316,81981,137,3749,804,323,3,2,17260,1728,3717,93,122113
USSS,49,269,25,347,24,88,1,1,127,90,7,4,1032
Total,18142,96928,1805,10334,4046,951,269,223,20485,2157,4048,619,160007
