Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Appeal
AF,Date of Receipt,2009-03-04,2009-02-24,2009-02-23,2009-02-23,2008-12-09,2008-12-08,2008-10-27,2008-07-07,2008-06-13,2006-02-02
AF,Number of Days Pending,142,153,154,154,204,205,233,246,326,907
ARMY,Date of Receipt,2008-04-10,2008-03-31,2007-12-12,2007-09-24,2007-09-21,2007-08-06,2007-08-01,2007-07-31,2007-05-29,2007-05-17
ARMY,Number of Days Pending,376,382,457,511,512,546,549,550,594,601
DFAS,Date of Receipt,,,,,,,,,,2009-09-08
DFAS,Number of Days Pending,,,,,,,,,,16
DIA,Date of Receipt,2002-11-08,2002-08-13,2002-03-21,2001-07-06,2001-03-16,2001-02-23,1998-08-07,1998-01-19,1997-08-11,1997-01-23
DIA,Number of Days Pending,1722,1783,1884,2059,2137,2152,2789,2929,3037,3176
DISA,Date of Receipt,,,,,,,,,2009-06-23,2009-06-23
DISA,Number of Days Pending,,,,,,,,,99,99
DLA,Date of Receipt,,,2009-09-17,2009-09-10,2009-05-27,2009-03-04,2008-11-04,2008-06-04,2008-05-30,2007-07-26
DLA,Number of Days Pending,,,9,14,88,147,225,331,334,546
DoDIG,Date of Receipt,2009-08-20,2009-07-06,2009-06-11,2009-04-14,2008-09-26,2008-08-05,2008-07-08,2008-06-25,2007-11-05,2006-08-21
DoDIG,Number of Days Pending,28,61,77,118,251,288,308,316,475,777
NAVY,Date of Receipt,2009-09-22,2009-09-21,2009-09-18,2009-09-15,2009-09-08,2009-09-07,2009-09-07,2009-07-13,2009-07-01,2009-05-01
NAVY,Number of Days Pending,6,7,8,11,16,17,17,56,64,106
NGA,Date of Receipt,2008-12-19,2008-12-10,2008-06-18,2007-07-07,2006-07-06,2006-07-06,2006-06-30,2006-06-14,2006-06-14,2006-06-08
NGA,Number of Days Pending,196,202,322,561,812,812,816,827,827,831
NRO,Date of Receipt,,,,2009-09-24,2009-09-17,2009-08-26,2009-08-13,2007-10-24,2003-07-14,2003-06-17
NRO,Number of Days Pending,,,,4,9,24,33,483,1554,1573
NSA,Date of Receipt,2009-06-11,2009-05-28,2009-05-20,2009-05-19,2009-05-07,2009-04-30,2009-04-24,2009-03-13,2008-10-24,2008-10-03
NSA,Number of Days Pending,78,88,93,94,102,107,111,141,235,249
OSD/JS,Date of Receipt,1999-02-16,1998-10-28,1998-10-28,1998-10-27,1998-10-21,1998-09-02,1998-06-09,1997-12-03,1997-10-15,1997-03-17
OSD/JS,Number of Days Pending,2661,2734,2734,2735,2739,2772,2832,2960,2993,3141
