Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BIA,379,125,43,17,17,4,5,4,1,1,10,2,3,611,
BLM,422,179,48,31,22,13,7,7,4,3,14,2,2,754,
BOR,97,34,9,4,1,3,1,2,2,1,3,0,1,158,
FWS,513,140,42,25,21,12,7,2,2,2,8,2,10,786,
MMS,134,47,9,4,0,1,1,4,3,1,2,0,0,206,
NPS,477,85,21,8,5,2,0,0,1,0,6,0,1,606,
OIG,8,3,7,3,3,0,2,0,1,1,3,0,41,72,
OS,176,46,25,12,12,6,4,6,6,5,5,1,0,304,
OSM,25,4,1,0,0,1,0,1,0,0,0,0,0,32,
SOL,18,11,10,2,6,0,3,0,4,1,4,5,3,67,
USGS,99,11,1,5,2,0,0,0,1,0,0,0,0,119,
Total,2348,685,216,111,89,42,30,26,25,15,55,12,61,3715,
