Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
BIA,934,975,923,1004,
BLM,990,922,996,922,
BOR,200,202,187,198,
FWS,802,1180,790,1160,
MMS,180,222,183,218,
NPS,869,857,850,859,
OIG,81,69,73,79,
OS,477,503,476,391,
OSM,54,37,56,35,
SOL,80,95,66,75,
USGS,143,146,150,147,
Total,4810,5208,4750,5088,
