Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
Federal Property and Administrative Services Act (41 U.S.C. § 253b(m)),Certain information in contractor proposals.Proposals of unsuccessful bidders.Contractor bid schedule.,"Hornbostel v. U.S. Department of the Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)",0,BIA,20
Federal Property and Administrative Services Act (41 U.S.C. § 253b(m)),Certain information in contractor proposals.Proposals of unsuccessful bidders.Contractor bid schedule.,"Hornbostel v. U.S. Department of the Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)",4,BLM,20
Federal Property and Administrative Services Act (41 U.S.C. § 253b(m)),Certain information in contractor proposals.Proposals of unsuccessful bidders.Contractor bid schedule.,"Hornbostel v. U.S. Department of the Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)",0,BOEMRE,20
Federal Property and Administrative Services Act (41 U.S.C. § 253b(m)),Certain information in contractor proposals.Proposals of unsuccessful bidders.Contractor bid schedule.,"Hornbostel v. U.S. Department of the Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)",3,BOR,20
Federal Property and Administrative Services Act (41 U.S.C. § 253b(m)),Certain information in contractor proposals.Proposals of unsuccessful bidders.Contractor bid schedule.,"Hornbostel v. U.S. Department of the Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)",8,FWS,20
Federal Property and Administrative Services Act (41 U.S.C. § 253b(m)),Certain information in contractor proposals.Proposals of unsuccessful bidders.Contractor bid schedule.,"Hornbostel v. U.S. Department of the Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)",5,NPS,20
Federal Property and Administrative Services Act (41 U.S.C. § 253b(m)),Certain information in contractor proposals.Proposals of unsuccessful bidders.Contractor bid schedule.,"Hornbostel v. U.S. Department of the Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)",0,OIG,20
Federal Property and Administrative Services Act (41 U.S.C. § 253b(m)),Certain information in contractor proposals.Proposals of unsuccessful bidders.Contractor bid schedule.,"Hornbostel v. U.S. Department of the Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)",0,OS,20
Federal Property and Administrative Services Act (41 U.S.C. § 253b(m)),Certain information in contractor proposals.Proposals of unsuccessful bidders.Contractor bid schedule.,"Hornbostel v. U.S. Department of the Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)",0,OSM,20
Federal Property and Administrative Services Act (41 U.S.C. § 253b(m)),Certain information in contractor proposals.Proposals of unsuccessful bidders.Contractor bid schedule.,"Hornbostel v. U.S. Department of the Interior, 305 F. Supp. 2d 21 (D.D.C. 2003)",0,SOL,20
