Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
5 U.S.C. app. 107(a),Confidential financial disclosure reports,"Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009)",1,FHWA,1
"5 U.S.C. 7301 (note), 503(e), PL 100-71",Results of drug tests of Federal employees,N/A,1,FMCSA,1
"Rule 6(e), FRCrP",Grand jury material,N/A,2,OIG,2
41 U.S.C. 253b(m),Contract proposals not incorporated into contracts,"Hornbostel v. DOI, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004)",3,FHWA,8
41 U.S.C. 253b(m),Contract proposals not incorporated into contracts,"Hornbostel v. DOI, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004)",2,MARAD,8
41 U.S.C. 253b(m),Contract proposals not incorporated into contracts,"Hornbostel v. DOI, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004)",1,NHTSA,8
41 U.S.C. 253b(m),Contract proposals not incorporated into contracts,"Hornbostel v. DOI, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004)",2,PHMSA,8
41 U.S.C. 423(b) and (e)(1),Procurement integrity information,N/A,1,FHWA,1
49 U.S.C. 31143(b),Identity of motor carrier safety complainants,N/A,88,FMCSA,88
49 U.S.C. 40110(e),Contract proposal not incorporated into contract,N/A,5,FAA,5
49 U.S.C. 40115,Information harmful to U.S. international aviation negotiation or to any U.S. international carrier,N/A,3,FAA,3
49 U.S.C. 40119,"Certain information obtained or developed in ensuring transportation security if disclosure of that information would:  constitute an invasion of personal privacy, reveal a trade secret or confidential commercial or financial information, or be detrimental to transportation safety","Pub. Citizen, Inc. v. FAA, 988 F.2d 186, 194 (D.C. Cir. 1993); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004)",15,FAA,50
49 U.S.C. 40119,"Certain information obtained or developed in ensuring transportation security if disclosure of that information would:  constitute an invasion of personal privacy, reveal a trade secret or confidential commercial or financial information, or be detrimental to transportation safety","Pub. Citizen, Inc. v. FAA, 988 F.2d 186, 194 (D.C. Cir. 1993); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004)",35,FMCSA,50
49 U.S.C. 40123(a),Aviation Safety Action Program voluntarily submitted information,N/A,23,FAA,23
