Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
39 U.S.C. 410 (c)(1),Records relating to names and addresses of postal customers,None,56,PS,57
39 U.S.C. 410 (c)(1),Records relating to names and addresses of postal customers,None,1,PIS,57
39 U.S.C. 410(c)(2),Records relating to commercial information that is proprietary to the Postal Service,"Wickwire Gavin v. USPS, 356 F.3d 588 (4th Cir. 2004); Airline Pilots Assn, Intl v. USPS & FedEx, '04 US Dist LEXIS 26067 (DDC 6/24/04)",109,PS,122
39 U.S.C. 410(c)(2),Records relating to commercial information that is proprietary to the Postal Service,"Wickwire Gavin v. USPS, 356 F.3d 588 (4th Cir. 2004); Airline Pilots Assn, Intl v. USPS & FedEx, '04 US Dist LEXIS 26067 (DDC 6/24/04)",13,OIG,122
39 U.S.C. 410(c)(3),Records relating to information prepared for use in negotiating collective bargaining agreements,None,11,PS,11
39 U.S.C. 410(c)(4),"Records prepared for proceedings under 39 U.S.C. Chapter 36, relating to rates, classification, and service changes",None,2,PS,2
39 U.S.C. 410(c)(5),"Reports & memoranda of consultants or indep. contractors, except to extent they would be reqd to be disclosed if prepared within USPS",None,1,PS,1
39 U.S.C. 412,Records containing lists of postal customers,None,7,PS,7
18 U.S.C. 1461,Records concerning non-mailable matter,None,1,PS,1
18 U.S.C. 2510,Records relating to wiretap requests and information,"Lam Lek Chong v. DEA, 929 F.2d 729 (D.C. Cir. 1991)",1,PIS,1
18 U.S.C. 2517,Records relating to wiretap requests and information,"Lam Lek Chong v. DEA, 929 F.2d 729 (D.C. Cir. 1991)",1,PIS,1
Federal Rules of Criminal Procedure-Rule 6(e),Grand jury information,"Senate of P.R. v. United States Dep't of Justice, 823 F.2d 574 (D.C. Cir. 1987)",9,PIS,9
"5 U.S.C. 107, 5 CFR 2634-35",Financial disclosure reports,"Meyerhoff v. EPA, 958 F.2d 1498, 1502-03 (9th Cir. 1992); Church of Scientology of Texas v. IRS, 816 F. Supp. 1138, 1152 (W.D. Tex. 1993); Judicial Watch v. Rossotti, 285 F. Supp. 2d 17, 30 (D.D.C. 2008).",3,PS,3
"Inspector General Act of 1978, Section 7(b)",Employee Complaint Information,"United Am. Fin. v. Potter, 531 F. Supp. 2d 29, 45-46 (D.D.C. 2008)",7,OIG,7
