Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
HQ,226,160,32,174,34,46,7,4,17,3,77,242,1022
OIG,10,58,9,43,0,5,1,3,1,0,2,3,135
R01,105,23,0,13,15,14,10,11,9,12,11,0,223
R02,162,24,0,34,3,3,5,1,0,3,0,9,244
R03,75,48,5,35,5,5,3,4,3,2,3,7,195
R04,298,33,0,54,12,21,9,10,9,10,11,10,477
R05,100,28,0,41,14,4,9,12,4,9,8,12,241
R06,126,28,0,26,14,7,12,12,6,7,8,5,251
R07,12,20,0,0,0,0,0,0,0,0,0,1,33
R08,62,26,0,3,0,0,2,2,0,0,0,1,96
R09,84,49,24,38,9,2,3,8,2,1,3,5,228
R0X,31,45,0,26,13,0,4,9,0,1,1,2,132
Total,1291,542,70,487,119,107,65,76,51,48,124,297,3277
