Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
AF,578,28,142,499,40,93,3,9,8,
AFRICOM,3,262,194,1,16,16,0,0,0,
ARMY,1527,,68,1265,,71,255,,1,
ASBCA,0,,0,0,,,0,,,
CENTCOM,93,184,230,152,58,171,0,,,
DCAA,1,8,8,1,19,19,0,,,
DCMA,10,29,27,35,121,150,0,,,
DeCA,6,24,49,0,,0,0,,,
DFAS,8,16,19,1,1,1,0,,,
DIA,45,13,13,2255,800,904,1,149,149,
DISA,6,502,415,55,66,61,0,,,
DLA,29,0,47,82,16,27,0,,,
DoDEA,5,47,35,3,89,100,0,,,
DoDIG,0,0,0,94,159,216,0,,,
DSS,0,0,0,0,,,0,,,
DTIC,10,9,9,0,,,0,,,
DTRA,0,0,0,24,32,66,0,,,
EUCOM,10,334,391,22,368,867,1,109,109,
JFCOM,1,18,18,6,500,434,0,,,
NAVY,253,951,1000,712,1000,2000,0,,,
NGA,0,0,0,182,114,233,0,,,
NGB,0,0,0,2,50,50,0,,,
NORTHCOM,3,16,17,0,,,0,,,
NRO,13,46,88,38,266,276,0,,,
NSA,395,123,265,144,618,954,4,54,215,
OSD/JS,40,191,321,1307,728,863,1,122,122,
PACOM,0,,,28,711,936,0,,,
SOCOM,12,340,504,147,379,538,0,,,
SOUTHCOM,12,9,16,55,102,534,0,,,
STRATCOM,4,6,14,13,114,162,0,,,
TRANSCOM,0,0,,17,448,240,0,,,
TRICARE,0,0,,37,87,108,0,,,
Total,3052,0,168,7122,0,711,265,0,6,
