Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
ATLANTA,49,16,15.6122,0,0,0,0,0,0,
BIRMINGHAM,105,21,21.981,0,0,0,0,0,0,
CHARLOTTE,117,19,20.0171,0,0,0,0,0,0,
CHICAGO,41,16,17.0488,0,0,0,0,0,0,
DALLAS,129,13,17.5039,0,0,0,0,0,0,
HOUSTON,85,18,17.6118,0,0,0,0,0,0,
INDIANAPOLIS,105,9,10.0095,0,0,0,0,0,0,
LOS ANGELES,0,0,0,0,0,0,0,0,0,
MEMPHIS,35,15,14.8286,0,0,0,0,0,0,
MIAMI,63,21,22.1429,0,0,0,0,0,0,
NEW YORK,65,46,50.9077,0,0,0,0,0,0,
OLC/HDQ,36,24.5,30.1944,0,0,0,0,0,0,
PHILADELPHIA,129,22,21.3101,0,0,0,0,0,0,
PHOENIX,18,14.5,14.2222,0,0,0,0,0,0,
SAN FRANCISCO,40,15,18.825,0,0,0,0,0,0,
ST. LOUIS,72,19,17.25,0,0,0,0,0,0,
WFO,10,18.5,18.2,0,0,0,0,0,0,
Total,881,18,18,0,0,0,0,0,0,
