Component,Description,No. of Times Used,Total
CBP,United States Customs and Border Protection,5,28
CBP,United States Customs and Border Protection,2,28
CBP,United States Customs and Border Protection,1,28
CBP,United States Customs and Border Protection,1,28
CBP,United States Customs and Border Protection,1,28
CBP,United States Customs and Border Protection,2,28
CBP,United States Customs and Border Protection,3,28
CBP,United States Customs and Border Protection,3,28
CBP,United States Customs and Border Protection,6,28
CBP,United States Customs and Border Protection,1,28
CBP,United States Customs and Border Protection,3,28
ICE,Immigration and Customs Enforcement,26,26
OGC,Office of the General Counsel,1,42
OGC,Office of the General Counsel,36,42
OGC,Office of the General Counsel,5,42
USCIS,United States Citizenship and Immigration Services,2,2
USSS,United States Secret Service,1,2
USSS,United States Secret Service,1,2
Total,0,100,466
