Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
CBP,Date of Receipt,,,,,,,2010-09-15,2010-09-09,2010-09-04,2010-08-25
CBP,Number of Days Pending,,,,,,,12,16,18,26
FEMA,Date of Receipt,2010-05-27,2010-03-19,2010-03-19,2010-01-22,2009-10-21,2009-10-05,2009-09-08,2009-08-11,2009-04-24,2008-09-19
FEMA,Number of Days Pending,88,137,137,172,234,245,264,283,358,505
I&A,Date of Receipt,,,,,,,,,2010-09-20,2010-08-13
I&A,Number of Days Pending,,,,,,,,,9,35
MGMT,Date of Receipt,,,,,,,,,,2010-09-29
MGMT,Number of Days Pending,,,,,,,,,,1
S&T,Date of Receipt,,,,,,,,,,2010-06-25
S&T,Number of Days Pending,,,,,,,,,,70
TSA,Date of Receipt,2010-06-15,2010-06-02,2010-02-25,2010-02-17,2009-12-16,2009-12-07,2009-10-21,2009-09-17,2009-06-04,2008-04-10
TSA,Number of Days Pending,76,85,153,159,196,203,234,257,330,618
USCG,Date of Receipt,2010-07-20,2010-07-14,2010-05-12,2010-05-06,2010-05-05,2010-04-07,2010-03-11,2009-12-24,2009-12-24,2009-07-28
USCG,Number of Days Pending,52,56,99,103,104,124,143,190,190,293
USCIS,Date of Receipt,,,,,,,,,,2010-09-10
USCIS,Number of Days Pending,,,,,,,,,,15
USSS,Date of Receipt,,,,2010-09-02,2010-09-02,2010-09-02,2010-09-02,2010-08-19,2010-08-16,2010-06-20
USSS,Number of Days Pending,,,,20,20,20,20,30,33,72
