Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
Appeals,630000,2500,632500,0,0.0%,
BIA,1532192.29,51492.4,1583684.69,15100.91,0.99%,
BLM,2974783.76,109806,3084589.76,9351.35,0.31%,
BOEMRE,947103.4,0,947103.4,17978.12,1.9%,
BOR,631981.09,1500,633481.09,2922.77,0.46%,
FWS,1206069.68,0,1206069.68,7792.4800000000005,0.65%,
NPS,731941.72,14000,745941.72,5270.9400000000005,0.72%,
OCIO,677054.3,0,677054.3,0,0.0%,
OIG,235595.86,24956.62,260552.48,0,0.0%,
OS,807550.21,0,807550.21,2254.61,0.28%,
OSM,120846.07,0,120846.07,0,0.0%,
SOL,487227.2,156341.7,643568.9,0,0.0%,
USGS,168892.76,0,168892.76,2797.2400000000002,1.66%,
Total,11151238,360597,11511835,63468,N/A,
