Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
ARC,141674,0,141674,0,0.0%,
DFRC,63004,0,63004,0,0.0%,
GRC,98880.39,0,98880.39,743.15,0.75%,
GSFC,92595.68,0,92595.68,0,0.0%,
HQ,447540.1,0,447540.1,0,0.0%,
JPL,120605,0,120605,3314.4900000000002,2.75%,
JSC,181699,0,181699,0,0.0%,
KSC,152997.95,0,152997.95,318,0.21%,
LaRC,77000,0,77000,0,0.0%,
MSFC,110701,0,110701,0,0.0%,
NSSC,27638.76,0,27638.76,0,0.0%,
OGC,655019,0,655019,0,0.0%,
OIG,16079,0,16079,0,0.0%,
SSC,39564.02,0,39564.02,0,0.0%,
Total,2224998,0,2224998,4376,N/A,
