Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
HQ,29,32,12,9,7,13,9,4,7,1,15,3,8,149,
OIG,9,30,0,0,0,0,0,0,0,0,0,0,0,39,
R01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
R02,2,1,2,0,0,1,0,0,0,0,0,0,0,6,
R03,8,7,19,1,0,0,0,0,0,0,0,0,0,35,
R04,120,61,79,52,0,0,1,1,1,0,0,0,0,315,
R05,7,4,5,0,0,0,0,0,0,0,0,0,0,16,
R06,5,4,10,0,1,0,0,0,0,0,0,0,0,20,
R07,2,0,1,0,0,0,0,0,0,0,0,0,0,3,
R08,3,0,1,0,0,0,0,0,0,0,0,0,0,4,
R09,25,73,15,2,2,1,0,1,0,1,2,0,0,122,
R0X,16,8,2,0,2,0,0,0,0,0,0,0,0,28,
Total,226,221,146,64,12,15,10,6,8,2,17,3,8,738,
