Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BEP,4,0,0,0,0,0,0,0,0,0,0,0,0,4,
BPD,126,7,1,1,0,0,0,0,0,0,0,0,0,135,
DO,46,22,28,22,18,11,16,37,11,25,12,4,6,258,
FinCEN,81,1,0,0,0,0,0,0,0,0,0,0,0,82,
FMS,314,7,0,0,0,0,0,0,0,0,0,0,0,321,
IRS,6575,1537,575,151,51,37,18,7,11,11,13,13,8,9007,
MINT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OCC,29,33,10,4,0,0,0,0,0,1,0,0,0,77,
OTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TIGTA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
TTB,20,5,1,0,0,0,0,0,0,0,0,0,0,26,
Total,7196,1612,615,178,69,48,34,44,22,37,25,17,14,9911,
