Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
BVA,,,,,25.5,43.12,,191,,,,,
CFM,,,,,76,69.09,2,306,,,,,
GC,,,,,60,76.08,,285,,,,,
HRM,,,,,138.5,138.5,26,251,,,,,
IG,,,,,15,13.63,,24,,,,,
Mgmt,,,,,22,19,2,38,,,,,
NCA,,,,,12,19.31,,151,,,,,
OAL,,,,,9,46.13,,571,21,21,21,21,
OASHRA,,,,,17,15.67,10,20,,,,,
OF,,,,,10,19.94,1,105,,,,,
OI&T,,,,,18,32.82,,158,,,,,
ORM,,,,,14,20.35,,77,,,,,
OSDBU,,,,,36,36,36,36,,,,,
OSP,,,,,19,18,11,24,,,,,
P&P,,,,,125,125,125,125,,,,,
SEC,,,,,38,33.2,3,57,,,,,
VBA,,,,,6,19.98,,397,8,24.86,,100,
VHA,,,,,2,9.76,,358,1.5,7.5,,72,
Total,0,0,0,0,4,15,0,571,3,12,0,100,
