Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BPA,50,19,6,3,1,0,0,0,0,0,0,0,0,79,
CBFO,15,1,0,0,0,0,0,0,0,0,0,0,0,16,
CH,44,0,0,0,0,0,0,0,0,0,0,0,0,44,
EMCBC,12,4,4,2,0,2,0,0,0,0,1,1,0,26,
GFO,103,81,20,2,0,0,0,0,0,0,0,0,0,206,
HQ,320,97,79,45,33,24,24,13,13,13,25,12,12,710,
ID,31,1,1,0,0,0,0,0,0,0,0,0,0,33,
NETL,57,26,1,6,0,0,0,0,0,0,0,0,0,90,
NNSA,36,5,6,4,0,0,1,1,0,0,0,0,0,53,
NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NRLFO,7,1,0,1,0,0,0,0,0,0,0,0,0,9,
ORO,111,56,12,11,6,3,2,3,0,0,0,0,0,204,
OSTI,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
ROO,92,12,1,0,0,0,0,0,0,0,1,0,0,106,
SEPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SPR,2,1,0,0,0,0,0,0,0,0,0,0,0,3,
SRO,44,7,2,0,0,0,1,0,0,0,0,0,0,54,
SWPA,5,1,0,0,0,0,0,0,0,0,0,0,0,6,
WAPA,24,0,0,0,0,0,0,0,0,0,0,0,0,24,
Total,955,312,132,74,40,29,28,17,13,13,27,13,12,1665,
