Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
AF,7956,7812,7868,7899,
AFRICOM,25,5,22,1,
ARMY,32224,37081,32570,37681,
ASBCA,15,2,15,2,
CENTCOM,171,337,140,309,
DCAA,90,103,83,111,
DCMA,255,234,275,200,
DeCA,126,258,118,260,
DFAS,256,203,246,215,
DIA,688,610,727,938,
DISA,324,558,317,639,
DLA,5866,6858,5873,6769,
DoDEA,67,59,67,58,
DoDIG,313,416,333,352,
DSS,62,39,61,40,
DTIC,172,90,161,96,
DTRA,229,177,221,169,
EUCOM,41,79,35,75,
JFCOM,36,50,13,107,
NAVY,14476,14303,14528,14410,
NGA,154,244,119,318,
NGB,21,46,18,47,
NORTHCOM,35,55,30,55,
NRO,269,262,227,302,
NSA,987,1243,963,1065,
OSD/JS,1969,1695,2424,1899,
PACOM,92,85,109,91,
SOCOM,139,155,186,168,
SOUTHCOM,136,175,152,189,
STRATCOM,44,101,40,86,
TRANSCOM,112,123,108,164,
TRICARE,84,115,84,75,
Total,67434,73573,68133,74790,
