Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
AF,89,202,276,380,316,1565,54,11,690,59,19,8,2,1,
ARMY,154,1261,224,717,925,6561,608,8,3558,113,36,938,1,9,
CENTCOM,78,106,86,2,26,128,4,2,6,1,5,0,0,0,
DCAA,0,0,0,1,6,15,0,0,0,0,0,0,0,0,
DCMA,0,0,3,17,9,37,0,0,2,0,0,0,0,0,
DeCA,0,0,0,5,6,9,0,0,0,0,0,0,0,0,
DFAS,0,0,0,3,1,25,0,0,0,0,0,0,0,0,
DIA,231,105,555,54,32,101,3,0,16,8,7,0,0,0,
DISA,2,1,0,10,8,13,0,0,0,0,0,0,0,0,
DLA,1,2,42,97,171,65,1,1,28,0,3,0,0,0,
DoD IG,5,31,17,5,44,179,24,0,159,0,28,4,0,0,
DoDEA,0,0,16,9,14,34,0,0,6,0,0,1,0,0,
DSS,0,1,0,1,10,0,1,0,1,0,0,0,0,0,
DTIC,0,3,0,3,3,0,0,0,0,0,0,0,0,0,
DTRA,0,40,5,46,2,53,0,0,0,0,0,0,0,0,
EUCOM,14,0,15,1,0,15,0,0,0,0,0,0,0,0,
JFCOM,3,2,7,0,2,8,0,0,0,0,0,0,0,0,
NAVY,60,109,580,354,256,2745,115,37,1302,134,59,34,0,1,
NGA,78,4,19,8,0,14,5,3,0,0,0,0,0,0,
NGB,0,0,2,7,8,23,1,0,1,0,0,0,0,0,
NORTHCOM,6,1,1,1,0,4,0,0,0,0,0,0,0,0,
NRO,75,6,83,2,4,38,1,0,12,6,4,0,0,0,
NSA,487,160,739,13,12,212,1,0,17,21,26,1,0,0,
OSD/JS,118,89,76,90,70,217,4,0,7,0,15,8,0,0,
PACOM,11,3,2,0,2,4,1,0,0,0,0,0,0,0,
SOCOM,5,8,26,10,4,31,0,0,4,0,0,0,0,0,
SOUTHCOM,79,23,40,0,33,79,0,0,2,2,9,11,0,0,
STRATCOM,6,4,3,0,5,17,0,0,5,0,2,0,0,0,
TRANSCOM,8,0,6,12,1,27,0,0,0,0,0,0,0,0,
TRICARE,0,2,4,22,5,19,1,0,0,0,0,0,0,0,
Total,1510,2163,2827,1870,1975,12238,824,62,5816,344,213,1005,3,11,
