Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
ARC,0,2,0,22,3,7,0,0,0,1,3,3,0,0,
DFRC,0,0,0,11,0,4,0,0,0,0,0,0,0,0,
GRC,0,0,4,4,1,3,0,0,0,0,2,0,0,0,
GSFC,0,2,5,82,2,5,0,0,0,0,0,0,0,0,
HQ,0,3,1,9,11,10,0,0,1,0,4,1,0,0,
JPL,0,1,2,7,0,10,0,0,0,0,0,0,0,0,
JSC,0,3,5,28,10,7,0,0,0,0,0,1,0,0,
KSC,0,1,3,17,4,10,1,0,1,0,0,0,0,0,
LaRC,0,0,2,9,2,6,0,0,0,0,0,0,0,0,
MSFC,0,0,7,25,5,10,0,0,9,0,0,0,0,0,
NSSC,0,0,3,4,1,0,0,0,0,0,0,0,0,0,
OIG,0,2,0,0,6,14,0,0,15,0,0,0,0,0,
SSC,0,0,1,3,1,0,0,0,0,0,0,0,0,0,
Total,0,14,33,221,46,86,1,0,26,1,9,5,0,0,
