Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year,
ATLANTA,51,628,652,27,
BIRMINGHAM,110,1384,1338,156,
CHARLOTTE,129,1172,1199,102,
CHICAGO,41,811,815,37,
DALLAS,128,1897,1886,139,
HOUSTON,89,1127,1130,86,
INDIANAPOLIS,127,2399,2421,105,
LOS ANGELES,0,967,933,34,
MEMPHIS,37,817,751,103,
MIAMI,67,2187,2152,102,
NEW YORK,184,703,654,233,
OLC/HDQ,40,395,411,24,
PHILADELPHIA,138,1106,1150,94,
PHOENIX,19,793,759,53,
SAN FRANCISCO,41,756,756,41,
ST. LOUIS,74,1093,1120,47,
WFO,11,189,170,30,
Total,1286,18424,18297,1413,
