Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
ARC,9,12,73.56,1,70,70,0,0,0,
DFRC,4,40.5,36.75,1,58,58,0,0,0,
GRC,1,23,23,3,41,32,0,0,0,
GSFC,1,2,2,13,18,33.92,0,0,0,
HQ,4,13.5,39.25,19,85,178.79,0,0,0,
JPL,0,0,0,0,0,0,0,0,0,
JSC,0,0,0,8,9,25.38,0,0,0,
KSC,2,5.5,5.5,2,45.5,45.5,0,0,0,
LaRC,0,0,0,1,26,26,0,0,0,
MSFC,0,0,0,1,9,9,0,0,0,
NSSC,0,0,0,1,7,7,0,0,0,
OGC,0,0,0,0,0,0,0,0,0,
OIG,2,25,25,0,0,0,0,0,0,
SSC,0,0,0,0,0,0,0,0,0,
Total,23,14,46,50,27,88,0,0,0,
