Component,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS PROCESSED,NUMBER OF APPEALS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
BPA,0,0,0,0,
CBFO,0,0,0,0,
CH,0,0,0,0,
EMCBC,0,0,0,0,
GFO,0,0,0,0,
HQ,91,74,88,70,
ID,0,0,0,0,
NETL,0,0,0,0,
NNSA,0,0,0,0,
NR,0,0,0,0,
NRLFO,0,0,0,0,
ORO,0,0,0,0,
OSTI,0,0,0,0,
ROO,0,0,0,0,
SEPA,0,0,0,0,
SPR,0,0,0,0,
SRO,0,0,0,0,
SWPA,0,0,0,0,
WAPA,0,0,0,0,
Total,91,74,88,70,
