Component,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS RECEIVED,NUMBER OF APPEALS PROCESSED,NUMBER OF APPEALS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
BEP,2,1,2,1,
BPD,2,5,2,5,
CFPB,0,0,0,0,
DO,23,57,20,37,
FinCEN,3,10,3,10,
FMS,4,3,4,1,
IRS,263,199,288,230,
MINT,3,4,3,4,
OCC,45,35,46,35,
OTS,9,4,8,5,
TIGTA,17,24,18,21,
TTB,1,5,6,5,
Total,372,347,400,354,
