Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
BIS,89033,0,89033,2980.4,3.35%,
Census,638492.91,0,638492.91,1298.3,0.2%,
EDA,122213,0,122213,1720.84,1.41%,
ESA,1650,0,1650,0,0.0%,
ITA,150000,0,150000,66.05,0.04%,
MBDA,768.02,0,768.02,0,0.0%,
NIST,250000,0,250000,9970.79,3.99%,
NOAA,962829.45,0,962829.45,25395.48,2.64%,
NTIA,130548,0,130548,3273.28,2.51%,
NTIS,14000,0,14000,128.76,0.92%,
OIG,188485,0,188485,0,0.0%,
OS,1095404.28,189785.65,1285189.93,198,0.02%,
PTO,42095.78,0,42095.78,4545.05,10.8%,
Total,3685519,189786,3875305,49577,N/A,
