Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
AF,490,693,287,171,121,74,74,43,37,25,61,18,61,2155,
AFRICOM,0,2,0,0,0,0,0,0,0,0,0,0,0,2,
ARMY,9653,2390,1030,505,322,225,139,118,70,53,161,71,128,14865,
ASBCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CENTCOM,1,1,4,4,10,8,8,5,6,2,19,9,67,144,
DCAA,8,2,0,1,0,0,0,0,0,0,0,0,0,11,
DCMA,3,1,0,0,1,0,1,1,2,0,6,4,1,20,
DeCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DFAS,10,8,4,0,0,0,0,0,0,0,0,0,0,22,
DIA,0,44,21,20,15,31,10,15,14,8,39,45,941,1203,
DISA,75,65,22,20,4,2,0,0,0,0,0,0,0,188,
DLA,400,89,48,32,19,16,6,6,3,4,6,1,0,630,
DoD IG,137,48,19,8,10,2,10,3,0,0,9,1,0,247,
DoDEA,7,0,3,1,4,2,0,0,0,0,0,0,0,17,
DSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DTIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DTRA,1,22,34,11,7,6,3,1,6,0,1,6,0,98,
EUCOM,3,2,1,2,0,0,0,0,0,0,1,1,7,17,
JFCOM,1,2,6,0,2,0,0,0,0,0,0,0,2,13,
NAVY,2759,868,416,260,138,99,85,49,53,46,138,79,128,5118,
NGA,16,5,5,5,7,8,13,4,8,7,46,38,32,194,
NGB,16,7,16,5,2,10,4,2,2,1,0,0,0,65,
NORTHCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NRO,3,2,8,3,5,2,2,2,3,0,9,7,6,52,
NSA,0,0,0,0,0,0,0,0,0,0,4,11,45,60,
OSD/JS,128,151,81,50,38,36,25,17,21,21,43,27,289,927,
PACOM,22,16,4,3,2,0,1,0,0,1,0,0,3,52,
SOCOM,40,17,15,7,2,2,3,2,1,0,6,5,49,149,
SOUTHCOM,0,0,3,2,6,7,8,7,4,16,28,17,21,119,
STRATCOM,0,0,2,1,0,0,1,1,0,0,1,2,2,10,
TRANSCOM,0,1,3,3,2,5,0,0,0,0,1,2,2,19,
TRICARE,8,11,14,10,6,7,2,3,11,4,11,7,1,95,
Total,13781,4447,2046,1124,723,542,395,279,241,188,590,351,1785,26492,
