Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,Number Adjudicated within 10 Calendar Days,
Office of the AG,9,2,7,5.27,10,
Office of the DAG,6,1,7,5,7,
Office of the Assoc. AG,2,1,7,5.33,3,
Antitrust,1,5,3.5,4.33,6,
ATF,0,8,1.5,1.88,8,
BOP,9,23,13,33.22,14,
Civil,1,2,3,3.33,3,
Civil Rights,0,0,N/A,N/A,N/A,
COPS,0,0,N/A,N/A,N/A,
Criminal,1,4,0,5,4,
CRS,0,0,N/A,N/A,N/A,
DEA,7,56,0,1.05,63,
ENRD,2,0,6,6,2,
EOIR,5,534,1,2.47,522,
EOUSA,2,0,10,10,1,
EOUST,0,8,2,2.5,8,
FBI,25,156,0,8.89,140,
FCSC,0,0,N/A,N/A,N/A,
JMD,3,0,3,3.67,3,
NSD,1,5,7,11.83,4,
OCDETF,0,0,N/A,N/A,N/A,
OFDT,0,0,N/A,N/A,N/A,
OIG,0,0,N/A,N/A,N/A,
OIP,9,35,10,13,24,
OIPL,1,0,8,8,1,
OJP,0,0,N/A,N/A,N/A,
OLA,3,0,0,3,3,
OLC,7,2,2,6.56,8,
OLP,1,0,8,8,1,
OPR,1,0,30,30,0,
OSG,2,2,5,4.75,4,
OVW,0,0,N/A,N/A,N/A,
Pardon Attorney,0,0,N/A,N/A,N/A,
Public Affairs,3,1,7.5,7.75,4,
PRAO,3,0,0,0,3,
TAX,0,1,6,6,1,
USMS,1,19,1,2.95,18,
USNCB,1,1,6,6,2,
USPC,0,0,N/A,N/A,N/A,
Total,106,866,N/A,N/A,867,
