Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319",Certain records pertaining to grand jury proceedings,"Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).",0,DoS,2
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319",Certain records pertaining to grand jury proceedings,"Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).",2,OIG,2
5 U.S.C. app 3 § 7(b),Names of employees who provide information or complaints to the Inspector General,No,1,DoS,1
5 U.S.C. app 3 § 7(b),Names of employees who provide information or complaints to the Inspector General,No,0,OIG,1
8 U.S.C. § 1202(f),Records pertaining to the issuance or refusal of visas to enter the U.S.,"Medina-Hincapie v. Dep't of State700 F.2d 737, 741 - 42 (D.C. Cir. 1983)",5774,DoS,5774
8 U.S.C. § 1202(f),Records pertaining to the issuance or refusal of visas to enter the U.S.,"Medina-Hincapie v. Dep't of State700 F.2d 737, 741 - 42 (D.C. Cir. 1983)",0,OIG,5774
10 U.S.C. § 424,"Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","Physicians for Human Rights v. DOD, No. RDB-08-273, 2011 WL 1495942, at *7 (D.D.C. Apr. 19, 2011); Miller v. DOJ 562 F. Supp. 82, 112(D.D.C. 2008), Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004)",3,DoS,3
10 U.S.C. § 424,"Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","Physicians for Human Rights v. DOD, No. RDB-08-273, 2011 WL 1495942, at *7 (D.D.C. Apr. 19, 2011); Miller v. DOJ 562 F. Supp. 82, 112(D.D.C. 2008), Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004)",0,OIG,3
22 U.S.C. § 2778(e),Certain information pertaining to export license applications,"Council for a Livable World v. U.S. Dep?t of State, No. 96-1807, slip op. at 11 (D.D.C. Jan. 21, 1998), amended (D.D.C. Nov. 23, 1998)CIA v. Sims, 471 U.S. 159,167 (1985); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Wolf v. CIA, 473 F.3d 370, 378, 380 (D.C. Cir. 2007)",2,DoS,2
22 U.S.C. § 2778(e),Certain information pertaining to export license applications,"Council for a Livable World v. U.S. Dep?t of State, No. 96-1807, slip op. at 11 (D.D.C. Jan. 21, 1998), amended (D.D.C. Nov. 23, 1998)CIA v. Sims, 471 U.S. 159,167 (1985); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Wolf v. CIA, 473 F.3d 370, 378, 380 (D.C. Cir. 2007)",0,OIG,2
50 U.S.C. § 403g,"Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ?the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency?","Larson v. Dep?t of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff?d on other grounds, 541 F.3d 205 (3d Cir. 2008)",10,DoS,10
50 U.S.C. § 403g,"Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ?the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency?","Larson v. Dep?t of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff?d on other grounds, 541 F.3d 205 (3d Cir. 2008)",0,OIG,10
50 U.S.C. § 402 note,Information pertaining to the functions or organization of NSA; certain information pertaining to NSA employees,"Houghton v. NSA, No 09-4440, 2010 WL 1784058, at *3 (3d Cir. May 5, 2010) (per curiam); Larson v. DOS, 565 F.3d 857, 868-69 (D.C. Cir. 2009); Founding Church of Scientology v. NSA, 610 F.2d 824, 827-28 (D.C. Cir 1979); Roman v. NSA, No. 07-CV-4502, 2009 WL 303686, at *5-6 (E.D.N.Y. Feb. 9, 2009), summary affirmance granted, 354 F. App?x 591 (2d Cir. 2009)",3,DoS,3
50 U.S.C. § 402 note,Information pertaining to the functions or organization of NSA; certain information pertaining to NSA employees,"Houghton v. NSA, No 09-4440, 2010 WL 1784058, at *3 (3d Cir. May 5, 2010) (per curiam); Larson v. DOS, 565 F.3d 857, 868-69 (D.C. Cir. 2009); Founding Church of Scientology v. NSA, 610 F.2d 824, 827-28 (D.C. Cir 1979); Roman v. NSA, No. 07-CV-4502, 2009 WL 303686, at *5-6 (E.D.N.Y. Feb. 9, 2009), summary affirmance granted, 354 F. App?x 591 (2d Cir. 2009)",0,OIG,3
