Component,Description,No. of Times Used,Total
ATLANTA,File Destroyed,54,130
ATLANTA,File Lost,69,130
ATLANTA,Converted to Section 83,7,130
BIRMINGHAM,File Lost,15,46
BIRMINGHAM,File Destroyed,18,46
BIRMINGHAM,Converted to Section 83,13,46
CHARLOTTE,Converted to Section 83,0,16
CHARLOTTE,File Destroyed,12,16
CHARLOTTE,File Lost,4,16
CHICAGO,File Lost,7,48
CHICAGO,Converted to Section 83,0,48
CHICAGO,File Destroyed,41,48
DALLAS,Converted to Section 83,9,34
DALLAS,File Destroyed,21,34
DALLAS,File Lost,4,34
HOUSTON,File Lost,15,46
HOUSTON,Converted to Section 83,5,46
HOUSTON,File Destroyed,26,46
INDIANAPOLIS,Converted to Section 83,5,84
INDIANAPOLIS,File Destroyed,25,84
INDIANAPOLIS,File Lost,54,84
LOS ANGELES,Converted to Section 83,0,35
LOS ANGELES,File Lost,14,35
LOS ANGELES,File Destroyed,21,35
MEMPHIS,File Lost,1,18
MEMPHIS,File Destroyed,11,18
MEMPHIS,Converted to Section 83,6,18
MIAMI,File Lost,246,284
MIAMI,Converted to Section 83,8,284
MIAMI,File Destroyed,30,284
NEW YORK,Converted to Section 83,16,200
NEW YORK,File Lost,33,200
NEW YORK,File Destroyed,151,200
OLC/HDQ,File Destroyed,0,0
OLC/HDQ,Converted to Section 83,0,0
OLC/HDQ,File Lost,0,0
PHILADELPHIA,Converted to Section 83,0,107
PHILADELPHIA,File Destroyed,13,107
PHILADELPHIA,File Lost,94,107
PHOENIX,Converted to Section 83,0,7
PHOENIX,File Destroyed,7,7
PHOENIX,File Lost,0,7
SAN FRANCISCO,Converted to Section 83,0,18
SAN FRANCISCO,File Lost,1,18
SAN FRANCISCO,File Destroyed,17,18
ST. LOUIS,Converted to Section 83,3,21
ST. LOUIS,File Lost,12,21
ST. LOUIS,File Destroyed,6,21
WFO,Converted to Section 83,4,8
WFO,File Lost,0,8
WFO,File Destroyed,4,8
Total,0,1102,3306
