Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
BIS,9,18,3,2,0,1,0,0,0,0,0,0,33
Census,31,49,35,46,8,8,22,6,61,8,0,17,291
EDA,11,11,0,4,0,1,6,2,0,0,0,0,35
ESA,2,0,0,3,0,0,0,0,0,0,0,0,5
ITA,7,12,0,11,2,11,8,1,5,1,0,3,61
MBDA,6,0,0,0,0,1,0,0,0,0,0,0,7
NIST,43,22,6,14,6,2,8,3,4,91,5,2,206
NOAA,187,99,63,36,6,31,23,6,1,1,3,9,465
NTIA,17,23,0,10,6,12,2,15,0,3,1,0,89
NTIS,2,2,0,4,0,3,0,0,0,0,0,2,13
OIG,3,28,6,4,0,1,0,0,0,0,0,6,48
OS,40,39,6,21,23,6,23,12,0,28,1,2,201
PTO,70,62,6,21,2,6,27,6,40,1,5,1,247
Total,428,365,125,176,53,83,119,51,111,133,15,42,1701
