Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
HQ,205,19,19,497,93,105.45,14,556.5,534.79,
Region 1,28,2,2,9,111,192.22,0,0,0,
Region 2,200,16.5,17,390,71,76.67,0,0,0,
Region 3,77,13,14,28,135,154.07,0,0,0,
Region 4,71,13,14,11,129,152.45,0,0,0,
Region 5,89,11,10,23,48,118.83,1,12,12,
Region 6,60,12,12,28,104,148.32,1,50,50,
Region 7,26,8.5,13,6,67.5,67.83,0,0,0,
Region 8,15,10,11,18,77,104.06,0,0,0,
Region 9,22,9.5,10,14,63.5,98.5,0,0,0,
Region 10,48,19,19,40,80.5,107.15,0,0,0,
Total,841,18,18,1064,80,100,16,506,472,
