Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
AMS,0,0,1,2,1,2,1,0,1,0,0,0,0,0,
APHIS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
ASCR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
DM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
FNCS,0,0,3,0,1,7,0,0,10,2,11,0,0,0,
FS,0,0,3,3,6,10,1,2,0,0,0,0,0,0,
FSA,0,0,8,0,1,5,0,0,1,0,0,0,0,0,
GIPSA,0,0,0,1,0,0,2,0,1,0,0,0,0,0,
NRCS,0,0,11,1,2,6,0,0,0,0,0,0,0,0,
OIG,0,0,0,2,2,6,0,0,5,0,0,0,0,0,
OSEC/OCIO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
REE,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Total,0,0,26,11,13,40,4,2,18,2,11,0,0,0,
