Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,
FSA,8,9,5,17.24,
IES,0,4,5,13.5,
IES-NAGB,0,0,0,0,
M,8,3,93,168.5,
OCFO,1,0,299,299,
OCFO-CAM,0,0,0,0,
OCIO,1,0,52,52,
OCO,0,0,0,0,
OCR,3,3,10.5,67.17,
OCR-1 Boston,0,1,1,1,
OCR-2 New York,1,0,12,12,
OCR-3 Philadelphia,1,0,1,1,
OCR-4 Atlanta,0,0,0,0,
OCR-5 Chicago,2,0,11.5,11.5,
OCR-6 Dallas,0,0,0,0,
OCR-7 Kansas City,0,2,6.5,6.5,
OCR-8 Denver,0,2,4,4,
OCR-9 San Francisco,3,3,1,2,
OCR-10 Seattle,0,0,0,0,
OCR-12 Cleveland,0,1,176,176,
OCR-Metro D.C.,0,0,0,0,
ODS,1,0,424,424,
OELA,0,0,0,0,
OESE,1,1,69,69,
OGC,2,0,22.5,22.5,
OIG,1,1,2.5,2.5,
OII,0,0,0,0,
OLCA,0,0,0,0,
OM,1,0,5,5,
OM-PIRMS,5,4,5,26.44,
OPE,1,4,4,22,
OPEPD,0,0,0,0,
OS,2,1,101,74.67,
OSDFS,0,0,0,0,
OSERS,0,1,38,38,
OUS,0,0,0,0,
OVAE,0,0,0,0,
Total,42,40,N/A,N/A,
