Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
BIA,Date of Receipt,2011-10-03,2011-08-16,2011-08-10,2011-08-09,2011-05-25,2011-04-13,2011-04-11,2011-03-30,2011-03-23,2011-02-07
BIA,Number of Days Pending,249,282,286,287,339,369,371,379,384,415
BLM,Date of Receipt,2011-01-20,2011-01-06,2010-12-27,2010-11-29,2010-10-14,2010-10-11,2010-10-05,2010-09-30,2010-06-09,2010-05-18
BLM,Number of Days Pending,427,436,443,462,492,494,498,501,580,595
BOEM,Date of Receipt,2012-04-18,2012-04-10,2012-04-03,2012-02-09,2012-01-18,2011-12-07,2011-12-05,2011-11-29,2011-10-21,2011-08-24
BOEM,Number of Days Pending,114,120,125,162,178,205,207,211,236,276
BOR,Date of Receipt,,,,,2012-09-28,2012-09-21,2012-09-20,2012-09-20,2012-09-18,2012-09-10
BOR,Number of Days Pending,,,,,0,5,6,6,8,14
BSEE,Date of Receipt,2012-02-27,2011-12-16,2011-02-22,2011-01-14,2010-10-29,2010-10-13,2010-09-27,2010-08-26,2010-06-29,2009-05-07
BSEE,Number of Days Pending,151,198,405,430,481,493,504,525,566,852
FWS,Date of Receipt,2011-08-16,2011-07-19,2011-05-20,2011-04-05,2011-03-23,2011-03-10,2010-12-09,2010-12-01,2010-10-05,2010-02-19
FWS,Number of Days Pending,282,302,342,375,384,393,454,460,498,657
NPS,Date of Receipt,2011-05-29,2011-04-18,2011-03-15,2011-01-27,2011-01-11,2011-01-10,2011-01-10,2011-01-07,2010-11-09,2010-04-12
NPS,Number of Days Pending,336,366,390,422,433,434,434,435,474,621
OIG,Date of Receipt,2008-09-05,2008-09-02,2008-09-02,2008-05-06,2007-12-21,2007-12-20,2007-11-30,2007-11-28,2007-11-14,2007-06-12
OIG,Number of Days Pending,1027,1030,1030,1112,1205,1206,1220,1222,1231,1338
OS,Date of Receipt,2011-03-17,2011-03-01,2011-01-14,2011-01-11,2010-11-22,2010-11-18,2010-08-04,2010-01-13,2009-12-16,2009-02-17
OS,Number of Days Pending,388,400,430,433,466,468,541,682,699,909
OSM,Date of Receipt,,2012-09-27,2012-09-26,2012-09-25,2012-09-07,2012-09-04,2012-06-21,2012-04-05,2012-03-14,2010-08-04
OSM,Number of Days Pending,,1,2,3,15,18,69,123,139,541
SOL,Date of Receipt,2010-10-20,2010-09-30,2010-07-29,2010-06-11,2010-03-15,2009-12-03,2009-10-15,2009-08-25,2009-03-13,2009-02-24
SOL,Number of Days Pending,488,501,545,578,641,708,741,776,891,904
USGS,Date of Receipt,2012-09-14,2012-09-12,2012-09-10,2012-09-10,2012-09-10,2012-09-07,2012-09-03,2012-08-31,2012-08-17,2012-08-17
USGS,Number of Days Pending,10,12,14,14,14,15,18,19,29,29
