Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
FAA,12,14,,248,30,61,,1472,18.5,31,1,164,
FHWA,18,33,,421,27,43,,167,18.5,17,,51,
FMCSA,43,43,,95,50,53,4,307,6,17,,81,
FRA,,,,,42,74,2,565,,,,,
FTA,18,20,1,143,145,145,145,145,28,28,27,28,
MARAD,162,236,,878,360,360,360,360,,,,,
NHTSA,18,17,2,51,31,53,4,296,10,10,10,10,
OIG,84,88,2,178,117,148,39,305,,,,,
OST,7,15,,93,31,64,,582,,,,,
PHMSA,5,10,,107,16,50,,438,17,48,,252,
RITA,6,14,1,111,17,18,17,19,5,7,1,16,
SLSDC,11,11,4,17,113,113,113,113,,,,,
Total,15,21,0,878,38,59,0,1472,1,5,0,252,
