Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
AF,13,17,1,18,48,102,1,1398,15,17,1,57,
AFRICOM,47,56,44,67,118,126,71,246,0,0,0,0,
ARMY,,8,0,572,,49,0,1355,,14,0,148,
ASBCA,18,21,2,46,0,0,0,0,0,0,0,0,
CENTCOM,56,185,4,1103,101,195,1,1457,0,0,0,0,
DCAA,7,6,1,16,18,23,3,57,0,0,0,0,
DCMA,258,73,0,516,223,139,0,446,0,0,0,0,
DeCA,14,9,,80,0,0,0,0,0,0,0,0,
DFAS,6,9,1,44,21,33,4,101,0,0,0,0,
DIA,8,9,2,20,641,941,21,3713,0,0,0,0,
DISA,133,107,5,211,14,15,0,29,0,0,0,0,
DLA,1,10,1,104,12,35,1,273,33,33,33,33,
DoD IG,6,9,1,103,57,123,16,967,22,22,22,22,
DoDEA,26,28,1,81,55,55,55,55,0,0,0,0,
DSS,7,12,2,20,0,0,0,0,0,0,0,0,
DTIC,8,9,2,19,0,0,0,0,0,0,0,0,
DTRA,6,22,1,145,57,77,1,326,0,0,0,0,
EUCOM,17,26,1,72,208,339,16,889,0,0,0,0,
NAVY,8,8,0,20,47,57,0,1908,3,2,0,90,
NGA,0,0,0,0,214,232,55,578,0,0,0,0,
NGB,0,0,0,0,142,109,1,337,0,0,0,0,
NORTHCOM,19,43,1,167,0,0,0,0,0,0,0,0,
NRO,10,11,1,35,107,229,31,1316,0,0,0,0,
NSA,36,165,1,1770,879,1124,143,3052,11,11,9,11,
OSD/JS,6,15,,430,98,533,,4097,0,0,0,0,
PACOM,1,1,1,2,68,110,8,2151,0,0,0,0,
SOCOM,16,11,2,16,148,297,36,1164,0,0,0,0,
SOUTHCOM,60,8,7,19,75,93,91,403,0,0,0,0,
STRATCOM,13,13,1,25,32,32,9,56,0,0,0,0,
TRANSCOM,4,6,1,18,130,121,21,543,8,8,8,8,
TRICARE,9,21,0,161,45,73,27,253,0,0,0,0,
Total,0,11,0,1770,0,115,0,4097,0,14,0,90,
