Component,Number of Appeals Pending as of Start of Fiscal Year,Number of Appeals Received in Fiscal Year,Number of Appeals Processed in Fiscal Year,Number of Appeals Pending as of End of Fiscal Year,
AMS,4,14,11,7,
APHIS,84,25,19,90,
ASCR,0,0,0,0,
FAS,0,1,1,0,
FNCS,19,34,42,11,
FS,34,79,67,46,
FSA,1,26,25,2,
FSIS,1,9,6,4,
GIPSA,1,1,2,0,
NAD,0,0,0,0,
NRCS,0,7,2,5,
OBPA,0,0,0,0,
OCFO,2,0,1,1,
OGC,0,2,1,1,
OIG,5,11,15,1,
OSEC/OCIO/DM,4,4,1,7,
RD,27,5,0,32,
REE,1,2,3,0,
RMA,15,9,0,24,
Total,198,229,196,231,
