Component,Number of Backlogged Requests as of the End of Fiscal Year,Number of Backlogged Appeals as of End of Fiscal Year,
Office of the AG,168,0,
Office of the DAG,121,0,
Office of the Assoc. AG,20,0,
Antitrust,49,0,
ATF,592,0,
BOP,872,0,
Civil,34,0,
Civil Rights,141,0,
COPS,0,0,
Criminal,170,0,
CRS,0,0,
DEA,164,0,
ENRD,9,0,
EOIR,180,0,
EOUSA,1208,0,
EOUST,0,0,
FBI,2696,0,
FCSC,0,0,
JMD,17,0,
NSD,147,0,
OCDETF,1,0,
OFDT,0,0,
OIG,45,0,
OIP,24,331,
OJP,34,0,
OLA,60,0,
OLC,34,0,
OLP,5,0,
OPR,25,0,
OSG,15,0,
OVW,0,0,
Pardon Attorney,0,0,
Public Affairs,23,0,
PRAO,1,0,
TAX,2,0,
USMS,120,0,
USNCB,0,0,
USPC,13,0,
Total,6990,331,
