Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
CBP,5,66,45,26,
CRCL,0,2,2,0,
FEMA,2,8,9,1,
FLETC,0,1,1,0,
I&A,4,11,15,0,
ICE,4,95,54,45,
NPPD,0,0,0,0,
OIG,0,5,5,0,
OPS,0,10,10,0,
PRIV,0,32,21,11,
S&T,0,3,3,0,
TSA,10,8,3,15,
USCG,6,0,3,3,
USCIS,3,56,58,1,
USSS,10,21,19,12,
Total,44,318,248,114,
