Component,Description,No. of Times Used,Total
AF,Misdirected Request,100,726
AF,Administratively Closed,511,726
AF,Unable to contact requester,111,726
AF,Litigation,4,726
ASBCA,N/A,0,0
ARMY,Administratively Closed,1150,1217
ARMY,Misdirected Request,67,1217
CENTCOM,Administratively Closed,2,8
CENTCOM,Unable to contact requester,2,8
CENTCOM,Misdirected Request,4,8
DCAA,N/A,0,0
DCMA,Misdirected Request,51,51
DeCA,N/A,0,0
DFAS,Administratively Closed,4,4
DIA,Administratively Closed,3,62
DIA,Unable to contact requester,43,62
DIA,Misdirected Request,16,62
DISA,Misdirected Request,2,5
DISA,Administratively Closed,3,5
DLA,Misdirected Request,91,125
DLA,Administratively Closed,34,125
DoDEA,Misdirected Request,0,0
DSS,N/A,0,0
DTIC,N/A,0,0
DTRA,Administratively Closed,5,5
EUCOM,Administratively Closed,4,4
NAVY,Administratively Closed,108,668
NAVY,Misdirected Request,558,668
NAVY,Litigation,2,668
NGA,Administratively Closed,22,22
NORTHCOM,N/A,0,0
NRO,N/A,0,0
NSA,Misdirected Request,40,44
NSA,Administratively Closed,4,44
OSD/JS,Litigation,5,286
OSD/JS,Misdirected Request,225,286
OSD/JS,Administratively Closed,51,286
OSD/JS,Insufficient Address,5,286
PACOM,Misdirected Request,2,3
PACOM,Administratively Closed,1,3
SOCOM,Litigation,1,18
SOCOM,Misdirected Request,1,18
SOCOM,Administratively Closed,16,18
SOUTHCOM,Misdirected Request,1,12
SOUTHCOM,Administratively Closed,1,12
SOUTHCOM,Litigation,10,12
STRATCOM,Misdirected Request,5,5
TRANSCOM,Administratively Closed,8,8
TRICARE,Administratively Closed,1,1
AFRICOM,Misdirected Request,3,3
NGB,Administratively Closed,5,5
DoD IG,Misdirected Request,5,31
DoD IG,Administratively Closed,26,31
JPRA,Misdirected Request,1,1
Total,0,3314,9311
