Component,Simple,Simple,Simple,Complex,Complex,Complex,Expedited,Expedited,Expedited
,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,
BPA,6,46,34,32,37,42,0,,,
CBFO,0,0,0,0,0,0,0,,,
CH,0,0,0,2,20,20,0,,,
EMCBC,11,67,111,3,75,77,0,,,
GFO,21,10,8,0,0,0,0,,,
HQ,121,120,238,75,160,278,0,,,
ID,0,0,0,0,0,0,0,,,
NETL,1,27,27,0,0,0,0,,,
NNSA,4,425.5,518,262,350.5,451,0,,,
NR,0,0,0,0,0,0,0,,,
NRLFO,1,196,196,0,0,0,0,,,
ORO,17,5,33,4,181,145,0,,,
OSTI,3,33,377,0,0,0,0,,,
ROO,9,19,42,0,0,0,0,,,
SEPA,0,0,0,0,0,0,0,,,
SPR,1,28,28,0,0,0,0,,,
SRO,3,17,75,0,0,0,0,,,
SWPA,3,6,6,0,0,0,0,,,
WAPA,2,6.5,6,0,0,0,0,,,
Total,203,396,387,378,278,372,0,0,0,
