Component,Number Affirmed on Appeal,Number Partially Affirmed & Partially Reserved/Remanded on Appeal,Number Completely Reserved/Remanded on Appeal,Number of Appeals Closed for Other Reasons,Total,
AMS,2,4,3,2,11,
APHIS,0,4,0,15,19,
ASCR,0,0,0,0,0,
FAS,0,0,1,0,1,
FNCS,25,14,1,2,42,
FS,19,18,16,14,67,
FSA,3,10,3,9,25,
FSIS,4,0,0,2,6,
GIPSA,2,0,0,0,2,
NAD,0,0,0,0,0,
NRCS,0,1,1,0,2,
OBPA,0,0,0,0,0,
OCFO,1,0,0,0,1,
OGC,0,1,0,0,1,
OIG,7,4,4,0,15,
OSEC/OCIO/DM,1,0,0,0,1,
RD,0,0,0,0,0,
REE,0,2,0,1,3,
RMA,0,0,0,0,0,
Total,64,58,29,45,196,
