Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
AMS,29,14,6,7,4,1,2,2,3,1,1,3,1,74,
APHIS,1,8,1,3,1,1,1,0,1,0,3,2,1,23,
ASCR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
FAS,1,3,2,3,0,0,0,1,1,0,0,0,0,11,
FNCS,10,3,0,1,0,0,0,0,1,0,0,0,0,15,
FS,207,138,80,47,15,20,8,5,5,2,9,0,6,542,
FSA,502,81,13,4,2,0,1,3,0,2,4,0,0,612,
FSIS,1,1,0,5,1,0,0,0,0,0,0,0,0,8,
GIPSA,7,8,4,2,0,0,2,0,0,0,3,0,0,26,
NAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NRCS,4,1,0,1,0,1,0,0,0,0,0,0,0,7,
OBPA,2,1,0,1,0,0,0,0,0,0,0,0,0,4,
OCFO,1,1,0,0,0,0,0,0,0,0,0,0,0,2,
OGC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OIG,0,6,15,1,3,1,0,1,0,2,2,0,0,31,
OSEC/OCIO/DM,16,8,7,2,2,0,0,3,1,2,6,3,4,54,
RD,12,2,8,3,8,3,2,2,2,3,7,3,2,57,
REE,44,22,2,1,1,0,0,0,0,0,0,0,0,70,
RMA,9,2,1,0,1,1,0,0,0,0,2,1,1,18,
Total,846,299,139,81,38,28,16,17,14,12,37,12,15,1554,
