Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BEP,48,0,0,0,0,0,0,0,0,0,0,0,0,48,
BPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DO,128,43,22,7,7,4,7,0,1,1,1,0,254,475,
FinCEN,196,0,0,0,0,0,0,0,0,0,0,0,0,196,
FMS,184,30,3,0,0,0,0,1,0,0,0,0,0,218,
IRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MINT,145,0,0,0,0,0,0,0,0,0,0,0,0,145,
OCC,1373,160,18,7,3,1,0,0,1,0,0,0,1,1564,
TIGTA,2,3,0,0,0,0,0,0,0,0,0,0,0,5,
TTB,16,1,0,0,0,0,0,0,0,0,0,0,0,17,
Total,2092,237,43,14,10,5,7,1,2,1,1,0,255,2668,
