Component,Number of Appeals Pending as of Start of Fiscal Year,Number of Appeals Received in Fiscal Year,Number of Appeals Processed in Fiscal Year,Number of Appeals Pending as of End of Fiscal Year,
ADJ BDS,0,1,1,0,
ALJ,0,0,0,0,
ASP,0,0,0,0,
BLS,1,0,0,1,
CFO,0,0,0,0,
EBSA,11,8,9,10,
ETA,18,52,27,43,
EXEC SEC,0,0,0,0,
ILAB,0,0,0,0,
MSHA,14,21,12,23,
OASAM,13,7,7,13,
OCIA,0,0,0,0,
ODEP,0,0,0,0,
OFCCP,7,2,1,8,
OIG,2,1,2,1,
OLMS,4,1,2,3,
OPA,0,0,0,0,
OSEC,0,0,0,0,
OSHA,54,113,48,119,
OWCP,67,167,147,87,
SOL,4,0,2,2,
VETS,6,3,3,6,
WB,0,0,0,0,
WHD,15,24,16,23,
Total,216,400,277,339,
