Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
FAA,0,9,5,4,
FHWA,0,1,1,0,
FMCSA,0,0,0,0,
FRA,0,0,0,0,
FTA,0,0,0,0,
MARAD,0,0,0,0,
NHTSA,0,5,5,0,
OIG,2,10,11,1,
OST,0,5,5,0,
PHMSA,1,0,1,0,
RITA,0,0,0,0,
SLSDC,0,0,0,0,
Total,3,30,28,5,
