Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
AF,60,150,124,86,
AFRICOM,40,37,32,45,
ARMY,157,361,385,133,
ASBCA,0,0,0,0,
CENTCOM,28,64,73,19,
DCAA,0,3,3,0,
DCMA,0,3,3,0,
DeCA,0,0,0,0,
DFAS,0,0,0,0,
DHA,1,3,4,0,
DIA,179,362,401,140,
DISA,3,6,4,5,
DLA,0,12,12,0,
DoD IG,0,6,5,1,
DoDEA,0,0,0,0,
DSS,0,0,0,0,
DTIC,0,0,0,0,
DTRA,1,16,14,3,
EUCOM,3,11,10,4,
JPRA,0,3,3,0,
NAVY,45,156,128,73,
NGA,31,60,62,29,
NGB,1,1,1,1,
NORTHCOM,2,23,23,2,
NRO,27,75,70,32,
NSA,173,326,277,222,
OSD/JS,220,186,194,212,
PACOM,10,9,14,5,
SOCOM,25,46,33,38,
SOUTHCOM,25,44,35,34,
STRATCOM,6,20,20,6,
TRANSCOM,1,8,4,5,
Total,1038,1991,1934,1095,
