Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
Office of the AG,19,29.58,2,226,301,362.77,8,1243,701,718.33,517,937,
Office of the DAG,20,33.19,4,361,311,418.43,19,1100,726,726,517,935,
Office of the Assoc. AG,21,33.64,4,226,392,361.36,19,624,,,,,
Antitrust,5,7.91,1,27,106,251.49,4,743,,,,,
ATF,44,59.2,,332,83,115.05,1,420,63,64,24,105,
BOP,2,29.46,,628,46.5,93.27,,718,30,56.7,,202,
Civil,2,15.52,,209,12,66.19,,691,16,16,2,30,
Civil Rights,2,5.26,,46,10,65.9,,959,,,,,
COPS,,,,,4,6.89,,26,,,,,
Criminal,19,30.98,2,337,202,231.95,6,707,4,4,4,4,
CRS,16,16.33,13,20,,,,,,,,,
DEA,10,11.63,,136,34,64.28,1,633,258.5,258.5,101,416,
ENRD,15,26.79,,177,156,189,57,603,15,15,10,20,
EOIR,20,28.6,,662,36.5,36.58,1,65,34,36.94,4,99,
EOUSA,,,,,90,132.32,,1029,,,,,
EOUST,5,8.92,,47,22.5,45.5,,188,,,,,
FBI,15,44.37,,689,187,210.91,1,938,223,245.56,9,815,
FCSC,7.5,10.1,2,26,,,,,,,,,
JMD,17,20.57,,140,42,61.77,6,297,16,16,16,16,
NSD,88.5,129.16,,498,295.5,306.71,21,1136,171,146.5,40,240,
OCDETF,12,15.95,3,44,41,90.64,23,606,,,,,
OIG,14,15.92,,65,67.5,95.12,,717,,,,,
OIP,15,27.54,,633,40,185.24,10,661,,,,,
OJP,17,22.47,,141,49,92.18,3,542,,,,,
OLA,22.5,36.9,7,190,293,360.08,4,793,651,666,517,830,
OLC,11.5,27.24,,261,193,282.86,6,1110,46.5,161.08,11,625,
OLP,19,20.05,8,53,205,277.83,23,786,,,,,
OPR,5,25.56,,384,507,527.45,8,1149,28,28,28,28,
OSG,40,44.77,,156,123,185,64,430,,,,,
OVW,18,16.69,,52,,,,,,,,,
Pardon Attorney,2,6.77,,97,,,,,,,,,
Public Affairs,21,21,21,21,465,370.29,4,514,,,,,
PRAO,7,12.55,1,36,,,,,,,,,
TAX,11,31.65,,243,42,68.77,1,281,,,,,
USMS,7,24.46,,465,148.5,202.78,2,1198,6,6,6,6,
USNCB,3,6.02,,163,25,25,25,25,,,,,
USPC,12,21.69,,163,56,67.93,,279,,,,,
Total,16,32,0,689,87,137,0,1243,51,155,0,937,
