Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
"IG Act of 1978, Sec 7(b). P.L. 95-452",Confidentiality of Employee Complaints to the IG,No,4,DoD IG,5
"IG Act of 1978, Sec 7(b). P.L. 95-452",Confidentiality of Employee Complaints to the IG,No,1,NAVY,5
10 USC § 130,"Certain technical data with military or space application in the possession of, or under the control of, the Department of Defense","Newport Aeronautical Sales v. Dep?t of the Air Force, 660 F. Supp. 2d 60, 65 (D.D.C. 2009); Chenkin v. Department of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff?d, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).",17,AF,87
10 USC § 130,"Certain technical data with military or space application in the possession of, or under the control of, the Department of Defense","Newport Aeronautical Sales v. Dep?t of the Air Force, 660 F. Supp. 2d 60, 65 (D.D.C. 2009); Chenkin v. Department of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff?d, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).",15,ARMY,87
10 USC § 130,"Certain technical data with military or space application in the possession of, or under the control of, the Department of Defense","Newport Aeronautical Sales v. Dep?t of the Air Force, 660 F. Supp. 2d 60, 65 (D.D.C. 2009); Chenkin v. Department of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff?d, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).",5,DTRA,87
10 USC § 130,"Certain technical data with military or space application in the possession of, or under the control of, the Department of Defense","Newport Aeronautical Sales v. Dep?t of the Air Force, 660 F. Supp. 2d 60, 65 (D.D.C. 2009); Chenkin v. Department of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff?d, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).",18,NAVY,87
10 USC § 130,"Certain technical data with military or space application in the possession of, or under the control of, the Department of Defense","Newport Aeronautical Sales v. Dep?t of the Air Force, 660 F. Supp. 2d 60, 65 (D.D.C. 2009); Chenkin v. Department of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff?d, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).",6,NSA,87
10 USC § 130,"Certain technical data with military or space application in the possession of, or under the control of, the Department of Defense","Newport Aeronautical Sales v. Dep?t of the Air Force, 660 F. Supp. 2d 60, 65 (D.D.C. 2009); Chenkin v. Department of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff?d, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).",5,OSD/JS,87
10 USC § 130,"Certain technical data with military or space application in the possession of, or under the control of, the Department of Defense","Newport Aeronautical Sales v. Dep?t of the Air Force, 660 F. Supp. 2d 60, 65 (D.D.C. 2009); Chenkin v. Department of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff?d, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).",2,PACOM,87
10 USC § 130,"Certain technical data with military or space application in the possession of, or under the control of, the Department of Defense","Newport Aeronautical Sales v. Dep?t of the Air Force, 660 F. Supp. 2d 60, 65 (D.D.C. 2009); Chenkin v. Department of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff?d, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).",4,SOCOM,87
