Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
BIA,756,391,66,193,20,28,26,21,42,3,6,35,1587
BLM,262,225,18,70,16,79,8,12,14,7,25,42,778
BOEM,30,21,1,7,1,7,2,4,1,1,1,16,92
BOR,108,45,6,26,2,17,6,0,3,0,6,61,280
BSEE,54,40,3,29,3,8,1,0,0,7,2,6,153
FWS,591,185,35,127,4,34,4,3,5,3,18,159,1168
NPS,322,222,32,58,5,26,16,2,1,0,18,10,712
OIG,10,80,21,29,0,2,0,1,0,2,0,17,162
OS,138,66,2,72,10,27,26,9,8,8,12,62,440
OSM,24,8,0,15,0,5,4,1,3,0,1,2,63
SOL,14,12,5,21,0,3,0,1,0,0,2,8,66
USGS,75,17,1,38,1,5,3,0,0,1,3,2,146
Total,2384,1312,190,685,62,241,96,54,77,32,94,420,5647
