Component,Description,No. of Times Used,Total
AF,United States Department of the Air Force,3,23
AF,United States Department of the Air Force,1,23
AF,United States Department of the Air Force,2,23
AF,United States Department of the Air Force,17,23
ARMY,United States Department of the Army,0,0
ASBCA,Armed Service Board of Contract Appeals,0,0
DCAA,Defense Contract Audit Agency,0,0
DCMA,Defense Contract Management Agency,0,0
DeCA,Defense Commissary Agency,0,0
DFAS,Defense Finance and Accounting Service,0,0
DHA,Defense Health Agency,0,0
DIA,Defense Intelligence Agency,2,4
DIA,Defense Intelligence Agency,2,4
DISA,Defense Information Service Agency,0,0
DLA,Defense Logistic Agency,0,0
DoD IG,DEPARTMENT OF DEFENSE INSPECTOR GENERAL,1,1
DSS,Defense Security Service,0,0
NAVY,United States Department of the Navy,0,0
NGA,National Geospatial Command,0,0
NRO,National Reconnaissance Office,0,0
NSA,National Security Agency,7,20
NSA,National Security Agency,13,20
OSD/JS,Office of the Secretary of Defense/Joint Staff,2,18
OSD/JS,Office of the Secretary of Defense/Joint Staff,16,18
Total,0,66,177
