Component,Number Affirmed on Appeal,Number Partially Affirmed & Partially Reserved/Remanded on Appeal,Number Completely Reserved/Remanded on Appeal,Number of Appeals Closed for Other Reasons,Total,
Admin,0,0,0,0,0,
BVA,0,0,0,0,0,
C&LA,0,0,0,0,0,
CFM,0,0,0,0,0,
GC,69,23,6,139,237,
HRM,0,0,0,0,0,
IG,10,1,1,3,15,
Mgmt,0,0,0,0,0,
NCA,0,0,0,0,0,
OAL,0,0,0,0,0,
OASHRA,0,0,0,0,0,
OASP&IA,0,0,0,0,0,
ODASB,0,0,0,0,0,
ODASIA,0,0,0,0,0,
ODI,0,0,0,0,0,
OF,0,0,0,0,0,
OIT,0,0,0,0,0,
ORM,0,0,0,0,0,
OSDBU,0,0,0,0,0,
OSP,0,0,0,0,0,
P&P,0,0,0,0,0,
PA,0,0,0,0,0,
SEC,0,0,0,0,0,
VBA,0,0,0,0,0,
VHA,0,0,0,0,0,
Total,79,24,7,142,252,
