Component,Median Number of Days,Average Number of Days,Lowest Number of Days,Highest Number of Days,
ADJ BDS,54,54,54,54,
ALJ,0,0,0,0,
ASP,0,0,0,0,
BLS,0,0,0,0,
CFO,0,0,0,0,
EBSA,210,254.2,9,653,
ETA,98,163.4,0,527,
EXEC SEC,0,0,0,0,
ILAB,0,0,0,0,
MSHA,499,411.8,7,721,
OASAM,349,446.6,231,836,
OCIA,0,0,0,0,
ODEP,0,0,0,0,
OFCCP,9,9,9,9,
OIG,206,205.5,44,367,
OLMS,513,513,270,765,
OPA,0,0,0,0,
OSEC,0,0,0,0,
OSHA,73,164.9,1,795,
OWCP,24,53.9,1,871,
SOL,397,397,85,709,
VETS,353,510,343,834,
WB,0,0,0,0,
WHD,44,128.1,1,523,
Total,41,131,0,871,
