Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
AF,11306050.8,297987,11604037.8,67677,0.6%,
AFRICOM,167000,0,167000,0,0.0%,
ARMY,25780081.77,1082866,26862947.77,318750,1.24%,
ASBCA,2677,0,2677,0,0.0%,
CENTCOM,4964285,653000,5617285,0,0.0%,
DCAA,207354,0,207354,12936,6.24%,
DCMA,843382,15000,858382,546,0.06%,
DeCA,85082,0,85082,0,0.0%,
DFAS,153610,0,153610,0,0.0%,
DHA,647609,0,647609,2385,0.37%,
DIA,3763801.45,635695.01,4399496.46,782,0.02%,
DISA,216599,0,216599,7462,3.45%,
DLA,1922492,1370,1923862,56000,2.91%,
DoD IG,1115968,4350,1120318,0,0.0%,
DoDEA,92922,0,92922,715,0.77%,
DSS,226360,0,226360,0,0.0%,
DTIC,101009,101009,202018,0,0.0%,
DTRA,764961.93,0,764961.93,2924,0.38%,
EUCOM,148126,2000,150126,0,0.0%,
JPRA,129146,0,129146,0,0.0%,
NAVY,10790954.72,35515,10826469.72,54960,0.51%,
NGA,538713,0,538713,0,0.0%,
NGB,61347,445,61792,1238,2.02%,
NORTHCOM,21993,0,21993,0,0.0%,
NRO,590000,0,590000,635,0.11%,
NSA,5144553,410914,5555467,7467,0.15%,
OSD/JS,4888378.74,1874079.28,6762458.02,10937.75,0.22%,
PACOM,308000,0,308000,0,0.0%,
SOCOM,2110280.67,0,2110280.67,0,0.0%,
SOUTHCOM,275000,205000,480000,0,0.0%,
STRATCOM,155495,1800,157295,0,0.0%,
TRANSCOM,236773,0,236773,0,0.0%,
Total,77760005,5321030,83081035,545415,N/A,
