Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
BEP,495718.45,0,495718.45,603.94,0.12%,
DO,2825237.7,12660.75,2837898.45,9343.03,0.33%,
FinCEN,150685,3142,153827,0,0.0%,
IRS,12544926.29,484180.46,13029106.75,39165,0.31%,
MINT,217604,0,217604,2256.39,1.04%,
OCC,1524673,0,1524673,225755,14.81%,
TIGTA,542641,12166,554807,203,0.04%,
TTB,166356.84,0,166356.84,2708.11,1.63%,
Fiscal Service,1029550,0,1029550,9471.8,0.92%,
Total,19497392,512149,20009541,289506,N/A,
