Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
AMS,757215,4860,762075,1656.44,0.22%,
APHIS,1786896.28,148500,1935396.28,171.78,0.01%,
ASCR,582,0,582,0,0.0%,
FAS,117000,0,117000,0,0.0%,
FNCS,15046.67,0,15046.67,10450.5,69.45%,
FS,70834.34,25000,95834.34,4795.64,6.77%,
FSA,2377750.95,0,2377750.95,28161.5,1.18%,
FSIS,11555.8,0,11555.8,0,0.0%,
GIPSA,161156,0,161156,4294,2.66%,
NAD,458,0,458,0,0.0%,
NRCS,38018,0,38018,1498.51,3.94%,
OBPA,7000,0,7000,0,0.0%,
OCFO,458,0,458,0,0.0%,
OGC,650000,650000,1300000,0,0.0%,
OIG,346971.62,24794.49,371766.11,0,0.0%,
OSEC/OCIO/DM,1033141,0,1033141,521.16,0.05%,
RD,26937,20000,46937,1117.16,4.15%,
REE,458.26,0,458.26,296.65,64.73%,
RMA,1084.96,0,1084.96,427.05,39.36%,
Total,7402564,873154,8275718,53390,N/A,
