Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
FAA,286,429,173,50,28,23,6,11,10,7,17,5,18,1063,
FHWA,30,18,5,0,1,1,0,1,2,1,1,0,1,61,
FMCSA,13,8,112,188,91,22,6,3,1,3,4,2,0,453,
FRA,98,62,41,35,41,20,16,10,11,11,18,8,14,385,
FTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MARAD,7,5,6,3,2,1,1,0,0,0,0,2,2,29,
NHTSA,2,3,2,2,0,0,1,1,1,0,1,4,6,23,
OIG,1,1,1,2,0,3,1,2,1,0,1,1,0,14,
OST,2,43,37,23,7,5,6,5,7,2,4,7,6,154,
PHMSA,12,1,2,4,1,2,3,3,0,3,12,6,5,54,
RITA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
SLSDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,451,570,379,308,171,77,40,36,33,27,58,35,52,2237,
